name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
Sly 2: Band of Thieves,1810000.0,880000.0,690000.0,0.0,230000.0,88.0,8.9,2004-09-14
Sly 3: Honor Among Thieves,830000.0,690000.0,30000.0,0.0,110000.0,83.0,8.8,2005-09-26
Sly Cooper and the Thievius Raccoonus,1210000.0,1030000.0,140000.0,0.0,40000.0,86.0,8.5,2002-09-23
Sly Cooper: Thieves in Time,850000.0,480000.0,200000.0,0.0,170000.0,75.0,8.2,2013-02-05
Smart Bomb,80000.0,70000.0,0.0,0.0,10000.0,45.0,6.2,2005-05-10
Smarty Pants,1430000.0,520000.0,750000.0,0.0,160000.0,65.0,7.5,2007-11-13
Smash Cars,110000.0,60000.0,40000.0,0.0,10000.0,67.0,7.5,2003-08-13
Smash Court Tennis 3,50000.0,10000.0,10000.0,10000.0,10000.0,68.0,6.3,2007-07-16
Smash Court Tennis Pro Tournament,170000.0,80000.0,70000.0,0.0,20000.0,73.0,7.4,2002-03-20
Smash Court Tennis Pro Tournament 2,130000.0,60000.0,50000.0,0.0,20000.0,74.0,8.6,2004-06-08
Smashing Drive,70000.0,60000.0,10000.0,0.0,0.0,47.0,5.2,2002-02-18
Smuggler's Run,1560000.0,770000.0,600000.0,0.0,200000.0,79.0,6.7,2000-10-25
Smuggler's Run: Warzones,80000.0,60000.0,20000.0,0.0,0.0,79.0,6.9,2002-08-07
Sneakers,100000.0,70000.0,20000.0,0.0,0.0,28.0,3.4,2002-10-22
Sniper Elite,410000.0,240000.0,120000.0,0.0,30000.0,75.0,7.6,2005-10-18
Sniper Elite 4,850000.0,390000.0,340000.0,0.0,120000.0,79.0,7.0,2017-02-14
Sniper Elite III,1820000.0,820000.0,760000.0,0.0,240000.0,67.2,6.7,2014-07-01
Sniper Elite V2,860000.0,460000.0,300000.0,20000.0,80000.0,62.5,5.9,2012-05-01
Sniper: Ghost Warrior,830000.0,300000.0,350000.0,40000.0,140000.0,53.0,6.1,2011-06-28
Sniper: Ghost Warrior 2,540000.0,110000.0,320000.0,30000.0,60000.0,52.0,5.9,2013-03-12
Snoopy vs the Red Baron,50000.0,40000.0,0.0,0.0,0.0,76.0,7.8,2006-10-24
Snow Moto Racing Freedom,30000.0,30000.0,0.0,0.0,0.0,52.0,6.4,2018-03-27
